"AÑO,PERIODO EPIDEMIOLOGICO,CODIGO DEL EVENTO,DESCRIPCION DEL EVENTO,CANTIDAD,UNIDAD"
"2017,1,100,ACCIDENTE OFIDICO,0,Personas"
"2017,2,100,ACCIDENTE OFIDICO,0,Personas"
"2017,3,100,ACCIDENTE OFIDICO,0,Personas"
"2017,4,100,ACCIDENTE OFIDICO,0,Personas"
"2017,5,100,ACCIDENTE OFIDICO,0,Personas"
"2017,6,100,ACCIDENTE OFIDICO,0,Personas"
"2017,7,100,ACCIDENTE OFIDICO,0,Personas"
"2017,8,100,ACCIDENTE OFIDICO,0,Personas"
"2017,9,100,ACCIDENTE OFIDICO,0,Personas"
"2017,10,100,ACCIDENTE OFIDICO,0,Personas"
"2017,11,100,ACCIDENTE OFIDICO,0,Personas"
"2017,12,100,ACCIDENTE OFIDICO,0,Personas"
"2017,13,100,ACCIDENTE OFIDICO,0,Personas"
"2018,1,100,ACCIDENTE OFIDICO,0,Personas"
"2018,2,100,ACCIDENTE OFIDICO,0,Personas"
"2018,3,100,ACCIDENTE OFIDICO,0,Personas"
"2018,4,100,ACCIDENTE OFIDICO,0,Personas"
"2018,5,100,ACCIDENTE OFIDICO,1,Personas"
"2018,6,100,ACCIDENTE OFIDICO,0,Personas"
"2018,7,100,ACCIDENTE OFIDICO,0,Personas"
"2018,8,100,ACCIDENTE OFIDICO,1,Personas"
"2018,9,100,ACCIDENTE OFIDICO,0,Personas"
"2018,10,100,ACCIDENTE OFIDICO,0,Personas"
"2018,11,100,ACCIDENTE OFIDICO,0,Personas"
"2018,12,100,ACCIDENTE OFIDICO,0,Personas"
"2018,13,100,ACCIDENTE OFIDICO,0,Personas"
"2019,1,100,ACCIDENTE OFIDICO,0,Personas"
"2019,2,100,ACCIDENTE OFIDICO,0,Personas"
"2019,3,100,ACCIDENTE OFIDICO,1,Personas"
"2019,4,100,ACCIDENTE OFIDICO,1,Personas"
"2019,5,100,ACCIDENTE OFIDICO,0,Personas"
"2019,6,100,ACCIDENTE OFIDICO,0,Personas"
"2019,7,100,ACCIDENTE OFIDICO,0,Personas"
"2019,8,100,ACCIDENTE OFIDICO,0,Personas"
"2019,9,100,ACCIDENTE OFIDICO,1,Personas"
"2019,10,100,ACCIDENTE OFIDICO,0,Personas"
"2019,11,100,ACCIDENTE OFIDICO,0,Personas"
"2019,12,100,ACCIDENTE OFIDICO,1,Personas"
"2019,13,100,ACCIDENTE OFIDICO,0,Personas"
"2020,1,100,ACCIDENTE OFIDICO,0,Personas"
"2020,2,100,ACCIDENTE OFIDICO,0,Personas"
"2020,3,100,ACCIDENTE OFIDICO,0,Personas"
"2020,4,100,ACCIDENTE OFIDICO,0,Personas"
"2020,5,100,ACCIDENTE OFIDICO,0,Personas"
"2020,6,100,ACCIDENTE OFIDICO,0,Personas"
"2020,7,100,ACCIDENTE OFIDICO,0,Personas"
"2020,8,100,ACCIDENTE OFIDICO,0,Personas"
"2020,9,100,ACCIDENTE OFIDICO,0,Personas"
"2020,10,100,ACCIDENTE OFIDICO,0,Personas"
"2020,11,100,ACCIDENTE OFIDICO,0,Personas"
"2020,12,100,ACCIDENTE OFIDICO,0,Personas"
"2020,13,100,ACCIDENTE OFIDICO,1,Personas"
"2021,1,100,ACCIDENTE OFIDICO,0,Personas"
"2021,2,100,ACCIDENTE OFIDICO,1,Personas"
"2021,3,100,ACCIDENTE OFIDICO,0,Personas"
"2021,4,100,ACCIDENTE OFIDICO,0,Personas"
"2021,5,100,ACCIDENTE OFIDICO,0,Personas"
"2021,6,100,ACCIDENTE OFIDICO,0,Personas"
"2021,7,100,ACCIDENTE OFIDICO,0,Personas"
"2021,8,100,ACCIDENTE OFIDICO,1,Personas"
"2021,9,100,ACCIDENTE OFIDICO,0,Personas"
"2021,10,100,ACCIDENTE OFIDICO,0,Personas"
"2021,11,100,ACCIDENTE OFIDICO,0,Personas"
"2021,12,100,ACCIDENTE OFIDICO,1,Personas"
"2021,13,100,ACCIDENTE OFIDICO,0,Personas"
"2022,1,100,ACCIDENTE OFIDICO,1,Personas"
"2022,2,100,ACCIDENTE OFIDICO,0,Personas"
"2022,3,100,ACCIDENTE OFIDICO,0,Personas"
